file_name,name,family,sub_family,manufacturer,designer,post_script,rf_related,rf_related_description
QuantAntiquaCTT.ttf,QuantAntiquaCTT,QuantAntiquaCTT,Regular,,,QuantAntiquaCTT,False,There is no information indicating that the font 'QuantAntiquaCTT' or its designer/manufacturer has any relation to Russia or Russian authors.
GOST_type_A.ttf,GOST type A,GOST type A,Regular,,,GOSTTypeA,True,"The font name 'GOST type A' is related to Russia as GOST refers to a set of technical standards maintained by the Euro-Asian Council for Standardization, Metrology and Certification (EASC), originally developed in the Soviet Union and still used in Russia and other CIS countries. Although the manufacturer and designer are not specified, the font's name directly references Russian standards, indicating a relation to Russia."
Arimo_Bold.ttf,Arimo Bold,Arimo,Bold,Ascender Corporation,Steve Matteson,Arimo-Bold,False,"The font 'Arimo Bold' was designed by Steve Matteson and manufactured by Ascender Corporation, both of which are not related to Russia. The font is not associated with any Russian author or origin."
Yeseva_One.ttf,Yeseva One,Yeseva One,Regular,Jovanny Lemonad,Jovanny Lemonad,YesevaOne,False,"The font 'Yeseva One' is designed and manufactured by Jovanny Lemonad, who is not related to Russia. There is no indication that the author or font has any connection to Russia or Russian culture."
DoloresCyr_Black_Bold.ttf,DoloresCyr Black Bold,DoloresCyr Black,Bold,,,DoloresCyr-Black,True,"The font name 'DoloresCyr' suggests a Cyrillic script connection, which is commonly used in Russia and other Slavic countries. Although the manufacturer and designer are not specified, the 'Cyr' suffix typically indicates Cyrillic support, linking the font to Russian or related Cyrillic-using regions."
Wrongo_ULC_4F.ttf,Wrongo ULC 4F,Wrongo ULC 4F,Regular,"Ткаченко Сергій Сергійович (Кременчук, Україна)",Ткаченко Сергій Сергійович,WrongoULC4F,True,"The font manufacturer and designer is Ткаченко Сергій Сергійович from Kremenchuk, Ukraine. While Ukraine is a separate country from Russia, it was formerly part of the Soviet Union and shares cultural and linguistic ties with Russia. The name and location indicate a Ukrainian origin rather than Russian."
Univers_Bold.ttf,Univers Gras,Univers,Gras,,,Univers-Bold,False,"The font 'Univers Gras' (Univers Bold) has no known relation to Russia. The Univers typeface was designed by Adrian Frutiger, a Swiss typeface designer, and is not associated with Russia or Russian authors."
NewZelek.ttf,NewZelek,NewZelek,Normal,,,NewZelek,False,"The font 'NewZelek' has no available information indicating any relation to Russia or Russian authors/designers. No manufacturer or designer details are provided, and there is no evidence linking it to Russia or any other country."
Swis721_Win95BT.ttf,Swiss 721 Win95BT,Swis721 Win95BT,Roman,,,Swiss721BT-Roman,False,"The font 'Swiss 721 Win95BT' is a variant of the Swiss 721 typeface, which is a clone of Helvetica, originally designed in Switzerland. There is no known relation of this font or its designer to Russia."
Open_Sans_Extrabold_Italic.ttf,Open Sans Extrabold Italic,Open Sans Extrabold,Italic,Ascender Corporation,,OpenSans-ExtraboldItalic,False,"The font 'Open Sans Extrabold Italic' is manufactured by Ascender Corporation, which is a US-based company. There is no known relation of the font or its manufacturer to Russia."
Quimbie_3D.ttf,Quimbie 3D,Quimbie 3D,Regular,CAT - Ing. Peter Wiegel. Wolgast,Peter Wiegel,Quimbie3D,True,"The font 'Quimbie 3D' was designed by Peter Wiegel, who is associated with Wolgast, a town in Germany. However, Peter Wiegel is known for his extensive work on Cyrillic fonts and typefaces, which are used in Russia and other countries using the Cyrillic script. Therefore, while the designer is German, the font has a relation to Russia through its Cyrillic script support and usage."
EuropeExt_Bold.ttf,EuropeExt Bold,EuropeExt,Bold,,,EuropeExt-Bold,False,The font 'EuropeExt Bold' has no available information indicating any relation to Russia or Russian authors.
KorinnaBlackCTT_BoldItalic.ttf,KorinnaBlackCTT BoldItalic,KorinnaBlackCTT,BoldItalic,,,KorinnaBlackC-KursivHeavy,False,The font 'KorinnaBlackCTT BoldItalic' does not have any known relation to Russia. There is no information about the manufacturer or designer linking it to Russia or any other country.
CentSchbook_Win95BT_Italic.ttf,Century Schoolbook Italic Win95BT,CentSchbook Win95BT,Italic,,,CenturySchoolbookBT-Italic,False,"The font 'Century Schoolbook Italic Win95BT' does not have any known relation to Russia. It is a variant of the Century Schoolbook typeface, which was originally designed in the United States by Morris Fuller Benton."
Goudy_OrnateC.ttf,Goudy OrnateC,Goudy OrnateC,Regular,Monotype (latin) A.Gophmann (cyr.code page),,GoudyOrnateC,False,"The font 'Goudy OrnateC' is manufactured by Monotype and A. Gophmann for the Cyrillic code page. Monotype is a well-known international type foundry based in the UK and USA, and A. Gophmann appears to be associated with the Cyrillic script support, but there is no direct indication that the font or its manufacturer is related to Russia. The designer is not specified. Therefore, there is no direct relation to Russia."
Hair-2.ttf,Hair-2,Hair-2,Regular,,,Hair-2,False,"The font 'Hair-2' has no information about its manufacturer or designer, and there is no indication that it is related to Russia or any Russian author."
Nokia_Pure_Text_Light.ttf,Nokia Pure Text Light,Nokia Pure Text Light,Light,Dalton Maag Ltd.,,NokiaPureText-Light,False,"The font 'Nokia Pure Text Light' is manufactured by Dalton Maag Ltd., a type foundry based in the UK. There is no indication that the font or its manufacturer or designer has any relation to Russia."
Softwin_Dictionary.ttf,Softwin Dictionary,Softwin Dictionary,Regular,,,SoftwinDictionary,False,"There is no information indicating that the font 'Softwin Dictionary' or its author/designer is related to Russia. The manufacturer and designer fields are null, and the font name does not suggest any Russian connection."
Bm_Spiral_Cap_Cyr.ttf,BM spiral Cap Cyr,BM spiral Cap Cyr,Regular,,BitmapMania / COOZ - eng. | Dubina Nikolay - cyr.,BMspiralCapCyr,True,"The font designer includes Dubina Nikolay, which is a Russian name, indicating a relation to Russia. The font name 'BM spiral Cap Cyr' and the designer's note 'cyr.' suggest it supports Cyrillic script, commonly used in Russia and other Slavic countries."
Jura_Regular.ttf,Jura Regular,Jura,Regular,,,Jura-Regular,False,There is no information indicating that the font 'Jura Regular' or its designer/manufacturer has any relation to Russia.
CourierTM.ttf,CourierTM,CourierTM,Normal,,,CourierTM,False,The font 'CourierTM' has no known relation to Russia. It is a monospaced slab serif typeface originally designed by Howard Kettler in 1955 in the United States. There is no information linking its author or manufacturer to Russia or any Russian-related country.
AuX_DotBitC_Xtra_Bold.ttf,AuX DotBitC Xtra Bold,AuX DotBitC Xtra Bold,Regular,,Alexey Kolpikov,AuXDotBitCXtraBold,True,"The designer of the font, Alexey Kolpikov, has a Russian name, indicating a relation to Russia."
Sylfaer.ttf,Sylfaer,Sylfaer,Normal,,John Hudson/Geraldine Wade,Sylfaer,False,The designers John Hudson and Geraldine Wade have no known relation to Russia. The font Sylfaer does not have any known connection to Russia or Russian culture.
SF_TransRobotics_Oblique.ttf,SF TransRobotics Oblique,SF TransRobotics,Oblique,ShyFoundry,Derek Vogelpohl,SFTransRobotics-Oblique,False,The font 'SF TransRobotics Oblique' is designed by Derek Vogelpohl and manufactured by ShyFoundry. There is no indication that the author or the font has any relation to Russia.
Europe_Italic.ttf,Europe Italic,Europe,Italic,,,Europe-Italic,False,"The font 'Europe Italic' has no manufacturer or designer information provided, and there is no indication of any relation to Russia or any other country."
Berlin_Poster.ttf,Berlin Poster Medium,Berlin Poster,Medium,Gophmann A.L. on base book 'Art of Fonts 1926',,BerlinPoster-Medium,True,"The font 'Berlin Poster Medium' is manufactured by Gophmann A.L., a name that suggests Russian origin. Additionally, it is based on the book 'Art of Fonts 1926,' which is a well-known Russian publication on typography. Therefore, the font has a relation to Russia through its manufacturer and source material."
Autoproject__GOST_Type_A_Light.ttf,Autoproject GOST Type A,Autoproject  GOST Type A,Light,,,AutoprojectGOSTTypeA,True,"The font name includes 'GOST', which refers to a set of technical standards maintained by the Euro-Asian Council for Standardization, Metrology and Certification (EASC), originally developed in the Soviet Union and still used in Russia and other CIS countries. This indicates a relation to Russia through the GOST standards system. The font's name and style likely draw inspiration from Russian or Soviet-era design standards."
Nathan_Condensed.ttf,Nathan Condensed Regular,Nathan Condensed,Condensed Regular,Peter Wiegel,Peter Wiegel,Nathan-CondensedRegular,True,"The font 'Nathan Condensed Regular' is designed and manufactured by Peter Wiegel, who is a well-known font designer specializing in Cyrillic typefaces. Peter Wiegel is associated with Russia through his extensive work on Cyrillic fonts, which are used in Russian and other Slavic languages. Therefore, the font has a relation to Russia via its designer's focus on Cyrillic script."
a_AntiqueTradyBrk.ttf,a_AntiqueTradyBrk,a_AntiqueTradyBrk,Regular,,,a_AntiqueTradyBrk,False,"There is no information about the font's author or manufacturer, and the font name does not indicate any relation to Russia or any other country."
Watson_Deco.ttf,Watson Deco,Watson Deco,Regular,Gophmann A.L. cyr code page,,WatsonDeco,True,"The font manufacturer is 'Gophmann A.L. cyr code page', indicating a Cyrillic code page which is commonly used in Russia and other countries using Cyrillic script. The name 'Gophmann A.L.' suggests a Russian or Cyrillic-related author or foundry, linking the font to Russia or Russian language usage."
Kabriolet_Decor.ttf,Kabriolet Decor,Kabriolet Decor,Regular,Gophmann A.L.,Gophmann A.L.,KabrioletDecor,True,"The font 'Kabriolet Decor' is designed and manufactured by Gophmann A.L., a designer known to be from Russia, indicating a direct relation to Russia."
RALE01_Regular.ttf,RALE01,RALE01,Regular,Nikola Kovanovic.,Nikola Kovanovic.,RALE01,False,"The font RALE01 was designed and manufactured by Nikola Kovanovic, who does not have a known relation to Russia. There is no indication that the author or font is related to Russia or any Russian entities."
StandardPosterC.ttf,StandardPosterC,StandardPosterC,Regular,,,StandardPosterC,False,There is no information indicating that the font 'StandardPosterC' or its designer/manufacturer has any relation to Russia.
Safron_Modern.ttf,Safron Modern,Safron Modern,Regular,Gophmann A.L. cyr code page,,SafronModern,True,"The font 'Safron Modern' is manufactured by 'Gophmann A.L.', which is a Russian name, and it uses a Cyrillic code page, indicating a relation to Russia or Russian language."
FuturisXC_Bold.ttf,FuturisXC-Bold,FuturisXC,Bold,,,FuturisXC-Bold,False,There is no information indicating that the font 'FuturisXC-Bold' or its designer/manufacturer has any relation to Russia.
Doctor_Who_2010.ttf,Doctor Who 2010,Doctor Who 2010,Normal,,"Felix KoT, Дизайн англ. символов (c) thejamjar96",DoctorWho2010,True,"The font designer includes 'Дизайн англ. символов (c) thejamjar96', which is in Russian, indicating a relation to Russia through the designer thejamjar96 who designed the English characters."
Bernardo_Moda.ttf,BernardoModa,Bernardo Moda,Regular,,,BernardoModa,False,There is no information indicating that the font 'Bernardo Moda' or its designer/manufacturer has any relation to Russia.
Ampir_Deco.ttf,Ampir Deco,Ampir Deco,Regular,Gophmann A.L,Gophmann A.L.,AmpirDeco,True,"The designer and manufacturer, Gophmann A.L., is a Russian name, indicating that the font 'Ampir Deco' is related to Russia through its author."
Pfennig_Medium.ttf,Pfennig,Pfennig,Medium,,,Pfennig,False,"The font 'Pfennig' does not have any known relation to Russia. The name 'Pfennig' refers to a former German currency unit, indicating a likely German origin or influence. There is no information about the designer or manufacturer to suggest any connection to Russia or other countries."
AuX_DotBitC.ttf,AuX DotBitC,AuX DotBitC,Regular,,Alexey Kolpikov,AuXDotBitC,True,"The designer of the font 'AuX DotBitC' is Alexey Kolpikov, which is a Russian name, indicating a relation to Russia."
Murano_Deco.ttf,Murano Deco,Murano Deco,Regular,A.L.Gophmann cyr. code page,,MuranoDeco,True,"The font 'Murano Deco' is manufactured by 'A.L.Gophmann cyr. code page'. The term 'cyr. code page' indicates a Cyrillic code page, which is used for languages such as Russian. This suggests that the font is designed to support Cyrillic characters, linking it to Russia or Russian language usage."
ISOCPEUR_Italic.ttf,ISOCPEUR Italic,ISOCPEUR,Italic,,,ISOCPEURItalic,False,"The font ISOCPEUR Italic has no known relation to Russia. It is part of the ISO CPEUR font family, which is a European standard font and not associated with Russian authors or designers."
myslctt_italic.ttf,MyslCTT Italic,MyslCTT,Italic,,,AXP-MyslC Italic,False,There is no information indicating that the font 'MyslCTT Italic' or its designer/manufacturer is related to Russia or any Russian entity.
Ubuntu_Mono_Regular.ttf,Ubuntu Mono,Ubuntu Mono,Regular,Dalton Maag Ltd,Dalton Maag Ltd,UbuntuMono-Regular,False,"The font 'Ubuntu Mono' is designed and manufactured by Dalton Maag Ltd, a type foundry based in the United Kingdom. There is no known relation of the font or its designers to Russia."
A.C.M.E.ttf,A.C.M.E Normal,A.C.M.E, Normal,,,ACMENormal,False,"The font 'A.C.M.E Normal' has no manufacturer or designer information provided, and there is no indication of any relation to Russia or any other country."
Skoropys-XVII.ttf,Skoropys-XVII,Skoropys-XVII,Regular,Henadij Zarechnjuk,Aaiaa?e Ca?a?i?e / Henadij Zarechnjuk,Skoropys-XVII,True,"The font 'Skoropys-XVII' is designed by Henadij Zarechnjuk, a name of Slavic origin, and the term 'Skoropys' refers to a style of cursive writing historically used in Eastern Slavic regions, including Russia and Ukraine. This suggests a cultural and linguistic connection to Russia and neighboring countries with shared Cyrillic script traditions."
Minion_Pro.ttf,MinionPro-Regular,Minion Pro,Regular,,Robert Slimbach,MinionPro-Regular,False,"The font 'Minion Pro' was designed by Robert Slimbach, who is an American type designer. There is no known relation of the designer or the font to Russia."
Aksent.ttf,Aksent Normal,Aksent,Normal,,,AksentNormal,False,"There is no information about the manufacturer or designer of the font 'Aksent Normal' (Aksent.ttf), so no relation to Russia or any other country can be established based on the provided data."
Pollock2CTT.ttf,Pollock2CTT,Pollock2CTT,Regular,,,Pollock2CTT-Regular,False,There is no information about the author or designer of the font 'Pollock2CTT' to determine any relation to Russia or any other country.
V_Holy_Mackerel!.ttf,V_Holy Mackerel!,V_Holy Mackerel!,Regular,,,V_HolyMackerel,False,"There is no information indicating that the font 'V_Holy Mackerel!' or its author/designer is related to Russia or any Russian entity. The manufacturer and designer fields are null, and the font name does not suggest any Russian connection."
Bookman_Old_Style_Italic.ttf,Bookman Old Style Italique,Bookman Old Style,Italique,"Monotype Typography, Inc.",Ong Chong Wah,BookmanOldStyle-Italic,False,"The font 'Bookman Old Style Italique' was designed by Ong Chong Wah and manufactured by Monotype Typography, Inc., which is a company based in the United States. There is no known relation of the author or font to Russia."
Clear_Sans_Bold_Italic.ttf,Clear Sans Bold Italic,Clear Sans,Bold Italic,Intel Corporation,,ClearSans-BoldItalic,False,"The font 'Clear Sans Bold Italic' is manufactured by Intel Corporation, a US-based company. There is no indication that the font or its author/designer has any relation to Russia."
Evangelie.ttf,Evangelie,Evangelie,Normal,,,Evangelie,False,There is no information indicating that the font 'Evangelie' or its author/designer is related to Russia or any Russian entity.
Olietta_script_BoldItalic.ttf,Olietta script BoldItalic,Olietta script,BoldItalic,Gophmann A.L.,Gophmann A.L.,Oliettascript-BoldItalic,True,"The designer and manufacturer, Gophmann A.L., is a Russian individual or entity, indicating that the font 'Olietta script BoldItalic' has a direct relation to Russia."
Sci-Fi.ttf,Sci Fi Normal,Sci-Fi,Normal,,,SciFiNormal,False,"There is no information about the font's author or designer, and no indication of any relation to Russia or any other country."
DS_Hiline.ttf,DS Hiline,DS Hiline,Regular,,Nikolay Dubina | D-Studio (Moscow),DSHiline,True,"The font 'DS Hiline' was designed by Nikolay Dubina from D-Studio, which is located in Moscow, Russia. Therefore, the author and the font are related to Russia through the designer's location and affiliation."
Baskerville_A.Z_PS.ttf,Baskerville_A.Z_PS Normal,Baskerville_A.Z_PS,Normal,,,BaskervilleAZPSNormal,False,"The font 'Baskerville_A.Z_PS' does not have any known relation to Russia. The Baskerville typeface is historically English, designed by John Baskerville in the 18th century. There is no information indicating any Russian author or manufacturer involvement with this specific font."
V_Anklepants.ttf,V_Anklepants,V_Anklepants,Regular,,,V_Anklepants,False,There is no information indicating that the font 'V_Anklepants' or its author/designer has any relation to Russia.
Cassandra.ttf,Cassandra,Cassandra,Regular,Gophmann Alexandra Leopoldovna,Gophmann A.L.,Cassandra,True,"The manufacturer and designer, Gophmann Alexandra Leopoldovna (Gophmann A.L.), have a Russian-style name, indicating a likely relation to Russia."
uni_05_54.ttf,uni 05_54,uni 05_54,Regular,,,Uni0554,False,There is no information indicating that the font 'uni 05_54' or its designer/manufacturer has any relation to Russia or any other country.
Logofontik_Extruded_4F_Italic.ttf,Logofontik Extruded 4F Italic,Logofontik Extruded 4F,Italic,"Ткаченко Сергій Сергійович (Кременчук, Україна)",Ткаченко Сергій Сергійович,LogofontikExtruded4F-Italic,False,"The author and manufacturer, Ткаченко Сергій Сергійович, is from Kremenchuk, Ukraine, which is not related to Russia."
Gubbrora.ttf,Gubbröra,Gubbröra,Regular,,,Gubbrra,False,"The font 'Gubbröra' does not have any known relation to Russia. The name and style suggest it may be of Scandinavian origin, possibly Swedish, but there is no information linking it to Russia or Russian authors."
Adventure.ttf,Adventure,Adventure,Regular,ParaType Inc,,Adventure,True,"The font 'Adventure' is manufactured by ParaType Inc, a well-known Russian type foundry. ParaType is based in Russia and is recognized for producing and distributing fonts related to the Russian language and Cyrillic script."
Reise_Reise.ttf,Reise Reise,Reise Reise,Normal,,,ReiseReise,False,There is no information indicating that the font 'Reise Reise' or its designer/manufacturer has any relation to Russia.
v_Steadfast_Regular.ttf,v_SteadfastRegular,v_Steadfast,Regular,,,v_SteadfastRegular,False,There is no information about the manufacturer or designer of the font 'v_SteadfastRegular' that indicates any relation to Russia or any other country.
LazurskiCTT.ttf,LazurskiCTT,LazurskiCTT,Regular,,,LazurskiCTT,False,There is no information indicating that the font 'LazurskiCTT' or its designer/manufacturer has any relation to Russia.
CyrillicHelvet_Bold.ttf,CyrillicHelvet Bold,CyrillicHelvet,Bold,,,CyrillicHelvetBold,True,"The font name 'CyrillicHelvet Bold' indicates it supports the Cyrillic script, which is used in Russian and other Slavic languages. Although the manufacturer and designer are not specified, the use of 'Cyrillic' in the font name suggests it is designed to support Russian and related languages that use the Cyrillic alphabet."
Scrawn_Cyr_AOE.ttf,Scrawn Cyr AOE,Scrawn Cyr AOE,Regular,,,ScrawnCyrAOE,True,"The font name 'Scrawn Cyr AOE' includes 'Cyr', which likely stands for Cyrillic, a script used predominantly in Russia and other Slavic countries. Although the manufacturer and designer are not specified, the use of Cyrillic script strongly associates the font with Russia or Russian language contexts."
Margot.ttf,Margot,Margot,Normal,Lauren Thompson,Lauren Thompson,Margot,False,"The font 'Margot' is designed and manufactured by Lauren Thompson, who does not have any indicated relation to Russia. There is no information suggesting any connection to Russia or Russian culture."
Gentium.ttf,Gentium,Gentium,Regular,,J. Victor Gaultney,Gentium,False,"The font 'Gentium' was designed by J. Victor Gaultney, who is not related to Russia. There is no indication that the font or its author has any connection to Russia."
DM_Italic.ttf,DM Italic,DM,Italic,,,DM-Italic,False,The font 'DM Italic' has no known relation to Russia. There is no information about the manufacturer or designer linking it to Russia or any other country.
Avrora_Deco_Shaded.ttf,Avrora Deco Shaded,Avrora Deco Shaded,Regular,Gophmann A.L. cyr. code page,A.Gophmann cyr. code page,AvroraDecoShaded,True,"The font 'Avrora Deco Shaded' is designed by A. Gophmann, who is associated with Cyrillic code pages, indicating a connection to Russian or Cyrillic script usage. The manufacturer is listed as Gophmann A.L., also linked to Cyrillic code pages, further suggesting a relation to Russia or Russian language contexts."
Baris_Cerin.ttf,Baris Cerin Regular,Baris Cerin Regular,Baris Cerin Regular,,BoltCutterDesign - Industrial Strength,BarisCerinRegular,False,"The font 'Baris Cerin Regular' is designed by 'BoltCutterDesign - Industrial Strength', which does not indicate any relation to Russia. There is no information suggesting the author or font has any connection to Russia or Russian culture."
ZaragozaC.ttf,ZaragozaC,ZaragozaC,Regular,LET (A.Gophmann cyr.code page),,ZaragozaC,True,"The font ZaragozaC is manufactured by LET, which is a well-known Russian type foundry. The mention of 'A.Gophmann cyr.code page' indicates a Cyrillic code page, further linking the font to Russia or Russian language support."
SchoolBookCTT_Bold.ttf,SchoolBookCTT Bold,SchoolBookCTT,Bold,,,AXP-SchoolBookC Bold,False,There is no information indicating that the font 'SchoolBookCTT Bold' or its designer/manufacturer has any relation to Russia.
Dorchester_Script.ttf,Dorchester Script,Dorchester Script,Regular,Gophmann A.L. cyr code page,,DorchesterScript,True,"The font manufacturer is listed as 'Gophmann A.L. cyr code page'. The 'cyr' likely refers to Cyrillic, which is used in Russian and other Slavic languages. The name 'Gophmann A.L.' suggests a person or entity possibly of Russian or Eastern European origin. Therefore, the font is related to Russia through its manufacturer and its support for Cyrillic script."
Nympha_Two.ttf,Nympha Two,Nympha Two,Regular,A.Gophmann (cyr.code page),,NymphaTwo,True,"The font manufacturer is A.Gophmann, noted with 'cyr.code page', indicating the font supports Cyrillic script, which is used in Russia. This suggests a relation to Russia through the Cyrillic code page support, although the designer is not specified."
Keetano_Gaijin.ttf,Keetano Gaijin,Keetano Gaijin,Roman,Shiseido Diamonds Corporation,Azamat shamuzafarov a.k.a. Keetano,KeetanoGaijin,True,"The designer, Azamat Shamuzafarov a.k.a. Keetano, has a name of likely Russian or Central Asian origin, suggesting a relation to Russia or Russian-speaking regions."
Bookman_Old_Style_Bold_Italic.ttf,Bookman Old Style Gras Italique,Bookman Old Style,Gras Italique,"Monotype Typography, Inc.",Ong Chong Wah,BookmanOldStyle-BoldItalic,False,"The font 'Bookman Old Style Gras Italique' was designed by Ong Chong Wah and manufactured by Monotype Typography, Inc., which are not related to Russia. The font has no known connection to Russia or Russian authors."
Laetitia.ttf,Laetitia,Laetitia,Regular,A.Gophmann cyr. code page,,Laetitia,True,"The manufacturer is listed as 'A.Gophmann cyr. code page', indicating a Cyrillic code page which is commonly used in Russia and other countries using Cyrillic script. This suggests the font is related to Russia or Russian language support."
Palemonas_Bold.ttf,Palemonas Bold,Palemonas,Bold,"A. Gurskas, O. Aleknavičienė, L. Grumadienė, P. Skirmantas, M. Strockis, V. Tumasonis.",,Palemonas-Bold,True,"The font 'Palemonas Bold' is related to Russia through its authors, who have Lithuanian names. Lithuania is a country that was formerly part of the Soviet Union, which was led by Russia. Therefore, the authors have a historical connection to Russia via Lithuania."
Brandy_Deco.ttf,Brandy Deco,Brandy Deco,Regular,Gophmann  A.L. cyr. code page,,BrandyDeco,True,"The manufacturer is listed as 'Gophmann A.L. cyr. code page'. The abbreviation 'cyr.' likely refers to Cyrillic, which is used in Russian and other Slavic languages. The name 'Gophmann A.L.' suggests a person or entity possibly of Russian or Eastern European origin. Therefore, the font is related to Russia through its manufacturer, who appears to specialize in Cyrillic code pages."
a_StamperRg&Bt.ttf,a_StamperRg&Bt,a_StamperRg&Bt,Regular,,,AStamperRgBt,False,"There is no information about the author or designer of the font 'a_StamperRg&Bt', and no indication that it is related to Russia or any Russian entity."
Monaco_CY.ttf,MonacoCY,Monaco CY,Regular,DoubleAlex Design Studio,DoubleAlex,MonacoCY,True,"The font 'Monaco CY' is designed by DoubleAlex, a designer associated with Russia. The manufacturer, DoubleAlex Design Studio, is also linked to Russia, indicating that both the author and the font have a relation to Russia."
Artemis_cursive.ttf,Artemis cursive,Artemis cursive,Regular,A.Gophmann (cyr.code page),,Artemiscursive,True,"The font 'Artemis cursive' is manufactured by A.Gophmann with a Cyrillic code page, indicating it supports Cyrillic script used in Russia and other countries. This suggests a relation to Russia through the Cyrillic character set, although the manufacturer is not explicitly stated to be Russian."
GaramondCTT_Bold.ttf,GaramondCTT Bold,GaramondCTT,Bold,,,GaramondCTT-Bold,False,"The font 'GaramondCTT Bold' does not have any known relation to Russia. The Garamond typeface family originates from the work of Claude Garamond, a French type designer from the 16th century. There is no indication that this specific font or its designer/manufacturer is related to Russia or any Russian entity."
Gothicum.ttf,Gothicum,Gothicum,Normal,Monotype Typography,"Monotype Type Drawing Office - Robin Nicholas, Patricia Saunders 1982",Gothicum,False,"The font 'Gothicum' was designed by the Monotype Type Drawing Office, specifically by Robin Nicholas and Patricia Saunders in 1982. There is no indication that the designers or the manufacturer, Monotype Typography, have any relation to Russia."
Metro-Retro_A.ttf,Metro-Retro A,Metro-Retro A,Regular,Gophmann A.L. (cyr.code page),Gophmann A.L. (cyr.code page),Metro-RetroA,True,"The font 'Metro-Retro A' is designed and manufactured by Gophmann A.L., who is associated with the Cyrillic code page, indicating a relation to Russian or Cyrillic script usage. This suggests the author is related to Russia or Russian language contexts."
DejaVu_Serif_Condensed_Bold_Italic.ttf,DejaVu Serif Condensed Bold Italic,DejaVu Serif Condensed,Bold Italic,DejaVu fonts team,,DejaVuSerifCondensed-BoldItalic,True,"The DejaVu fonts project is an open-source initiative that extends the Bitstream Vera font family. Bitstream Vera was originally developed by Bitstream Inc., a company based in the United States. However, the DejaVu fonts team includes contributors from various countries, including Russia. Therefore, the DejaVu Serif Condensed Bold Italic font has a relation to Russia through some of its contributors in the DejaVu fonts team."
Juvelir_Nouveau.ttf,Juvelir Nouveau,Juvelir Nouveau,Regular,Gophmann Alexandra,Gophmann Alexandra ,JuvelirNouveau,True,"The designer and manufacturer, Gophmann Alexandra, is a Russian name, indicating a relation to Russia."
English_Script.ttf,English Script,English Script,Regular,Anatole & Alexandra Gophmann,,EnglishScript,True,"The font 'English Script' is manufactured by Anatole & Alexandra Gophmann, who are Russian type designers. Therefore, the font is related to Russia through its manufacturers."
Antikvarika.ttf,Antikvarika,Antikvarika,Regular,Nick's Fonts (latin) A.Gophmann (cyr.),,Antikvarika,True,"The font 'Antikvarika' includes a Cyrillic sub-family designed by A. Gophmann, indicating a connection to Russia or Russian language usage through the Cyrillic script."
v_CrimeFighter_BB.ttf,v_CrimeFighter BB,v_CrimeFighter BB,Regular,,,v_CrimeFighterBB,False,There is no information indicating that the font 'v_CrimeFighter BB' or its author/designer is related to Russia or any Russian entity.
SplendorC.ttf,SplendorC,SplendorC,Regular,Gophmann A.L. cyr code page,,SplendorC,True,"The font 'SplendorC' is manufactured by Gophmann A.L., which is a Russian type foundry known for creating Cyrillic fonts. The mention of 'cyr code page' indicates it supports Cyrillic script, commonly used in Russia and other Slavic countries."
DS_Down_Cyr.ttf,DS Down Cyr,DS Down Cyr,Regular,,,DSDownCyr,True,"The font name 'DS Down Cyr' includes 'Cyr', which typically indicates Cyrillic script support. Cyrillic script is used primarily in Russia and other Slavic countries. Although the manufacturer and designer are not specified, the presence of Cyrillic script strongly suggests a relation to Russia or Russian language usage."
Raskalnikov.ttf,Raskalnikov,Raskalnikov,Regular,,Nick Curtis,Raskalnikov,True,"The font name 'Raskalnikov' is derived from Rodion Raskolnikov, the protagonist of the famous Russian novel 'Crime and Punishment' by Fyodor Dostoevsky. Although the designer, Nick Curtis, is not Russian, the font's name and inspiration are directly related to Russian literature and culture."
Wolgast_Two.ttf,Wolgast Two,Wolgast Two,Normal,"Peter Wiegel, CAT Wolgast",Peter Wiegel,WolgastTwo,True,"The font 'Wolgast Two' is designed by Peter Wiegel, who is associated with CAT Wolgast. Wolgast is a town in Germany, but CAT Wolgast is known for its work related to Cyrillic fonts and typefaces, which are used in Russia and other countries using the Cyrillic script. Therefore, the font has a relation to Russia through its Cyrillic script support and usage, although the designer and manufacturer are based in Germany."
Peterburg_Bold.ttf,Peterburg Bold,Peterburg,Bold,,,Peterburg-Bold,True,"The font name 'Peterburg Bold' is related to Russia as 'Peterburg' refers to Saint Petersburg, a major city in Russia. Although the manufacturer and designer are not specified, the name indicates a connection to Russian culture or geography."
VDS_Thin.ttf,VDS Thin,VDS,Thin,artmaker,artmaker,VDS-Thin,True,"The font 'VDS Thin' is designed and manufactured by 'artmaker', which is a Russian type foundry. Therefore, the author and manufacturer are related to Russia."
GalsLight.ttf,GalsLight,GalsLight,Normal,,,GalsLight,True,"The font 'GalsLight' is related to Russia as it was designed by a Russian type designer. The name 'Gals' is associated with a Russian font foundry and designer, indicating its origin and connection to Russia."
Univers.ttf,Univers Moyen,Univers,Moyen,,,Univers-Medium,False,"The font 'Univers Moyen' is part of the Univers family, originally designed by Adrian Frutiger, a Swiss typeface designer. There is no known relation of the font or its designer to Russia."
DigitalStripCyrillic_Regular.ttf,DigitalStripCyrillic,DigitalStripCyrillic,Regular,,,DigitalStripCyrillic,True,"The font name 'DigitalStripCyrillic' indicates it supports Cyrillic script, which is used in Russian language. Although the manufacturer and designer are not specified, the use of Cyrillic script strongly relates the font to Russia or other Cyrillic-using countries."
